occupation,group
Chief executives and legislators,CEO
General and Operations Managers,Business Manager
Advertising and Promotions Managers,Business Manager
Marketing and Sales Managers,Business Manager
Public Relations and Fundraising Managers,Business Manager
Administrative Services Managers,Business Manager
Computer and Information Systems Managers,Business Manager
Financial Managers,Business Manager
Compensation and benefits managers,Business Manager
Human Resources Managers,Administrative Manager
Training and development managers,Business Manager
Industrial Production Managers,Business Manager
Purchasing Managers,Business Manager
"Transportation, Storage, and Distribution Managers",Operations Manager
"Farmers, Ranchers, and Other Agricultural Managers",Farmer
Construction Managers,Operations Manager
Education Administrators,Administrative Manager
Architectural and Engineering Managers,Business Manager
Food Service Managers,Administrative Manager
Lodging Managers,Business Manager
Medical and Health Services Managers,Administrative Manager
Natural Sciences Managers,Business Manager
"Property, Real Estate, and Community Association Managers",Business Manager
Social and Community Service Managers,Administrative Manager
Emergency management directors,Business Manager
"Miscellaneous managers, including funeral service managers and postmasters and mail superintendents",Business Manager
"Agents and Business Managers of Artists, Performers, and Athletes",Business Manager
"Buyers and Purchasing Agents, Farm Products",Business Manager
"Wholesale and Retail Buyers, Except Farm Products",Business Manager
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business Manager
"Claims Adjusters, Appraisers, Examiners, and Investigators",Billing Specialist
Compliance Officers,Administrative Manager
Cost Estimators,Accountant
Human Resources Workers,Administrative Manager
"Compensation, benefits, and job analysis specialists",Administrative Manager
Training and development specialists,Teacher
Logisticians,Administrative Manager
Management Analysts,Business Manager
"Meeting, Convention, and Event Planners",Administrative Manager
Fundraisers,Salesperson
Market Research Analysts and Marketing Specialists,Salesperson
"Business Operations Specialists, All Other",Administrative Manager
Accountants and Auditors,Accountant
Appraisers and Assessors of Real Estate,Real Estate Broker
Budget Analysts,Billing Specialist
Credit Analysts,Accountant
Financial Analysts,Accountant
Personal Financial Advisors,Accountant
Insurance Underwriters,Billing Specialist
Financial Examiners,Billing Specialist
Credit Counselors and Loan Officers,Billing Specialist
"Tax Examiners and Collectors, and Revenue Agents",Billing Specialist
Tax Preparers,Accountant
"Financial Specialists, All Other",Accountant
Computer and information research scientists,Scientist
Computer Systems Analysts,Software Developer
Information security analysts,Software Developer
Computer Programmers,Software Developer
"Software Developers, Applications and Systems Software",Software Developer
Web Developers,Software Developer
Computer Support Specialists,Software Developer
Database Administrators,Software Developer
Network and Computer Systems Administrators,Software Developer
Computer network architects,Software Developer
"Computer occupations, all other",Software Developer
Actuaries,Accountant
Operations Research Analysts,Scientist
"Miscellaneous mathematical science occupations, including mathematicians and statisticians",Scientist
"Architects, Except Naval",Civil Engineer
"Surveyors, Cartographers, and Photogrammetrists",Surveying Technician
Aerospace Engineers,Civil Engineer
Biomedical and agricultural engineers,Civil Engineer
Chemical Engineers,Civil Engineer
Civil Engineers,Civil Engineer
Computer Hardware Engineers,Civil Engineer
Electrical and Electronics Engineers,Civil Engineer
Environmental Engineers,Civil Engineer
"Industrial Engineers, including Health and Safety",Civil Engineer
Marine Engineers and Naval Architects,Civil Engineer
Materials Engineers,Civil Engineer
Mechanical Engineers,Civil Engineer
